qid,vid_name,q,a0,a1,a2,a3,answer_idx,chunk_ids,oracle_idx
-9NhaKWMtWU_q18_6,-9NhaKWMtWU,How does the man on the right feel when he does not get drunk correct?,He feels amused because he guessed something wrong and it was funny.,The man on the right feels slightly annoyed,The man on the right feels slightly embarrassed.,He is humored because he can't get a rhyme.,1,"[0, 1, 2, 3, 4, 5, 6]",2
-9NhaKWMtWU_q23_0,-9NhaKWMtWU,What are the men's attitude towards each other?,They are arguing with each other.,The two men are interested in each other.,The two men are friendly with each other.,"Possibly, as they didn't display any hostility towards each other.",2,"[0, 1, 2, 3, 4, 5, 6]",2
-9NhaKWMtWU_q3_0,-9NhaKWMtWU,What does the actions of the man on the left at 0:09 suggest?,The man on the left finds the comment funny because it makes no sense.,He can't believe what the other man has said and finds it extremely funny,He is trying to suppress his laughter.,He can't believe what the other man has said and finds it extremly ridiculous,1,"[0, 1, 2, 3, 4, 5, 6]",2
-9NhaKWMtWU_q20_0,-9NhaKWMtWU,"What does the person on the left feel after he said ""dead"" after the person on the left said ""brown bread""?",He is proud of himself.,He is in a state of confusion and disbelief.,The man is confused.,He is happy,3,"[0, 1, 2, 3, 4, 5, 6]",2
-9NhaKWMtWU_q11_0,-9NhaKWMtWU,"What does the person on the left think about the person on the right's explanation concerning his reasoning behind saying ""dead"" after the person on the left had said ""brown bread""?",He is trying to change the subject.,thinks it is an odd explanation and does not understand it,He thinks the person on the right is being offensive.,He thinks it is a very clear and logical explanation and understands his companion's reasoning completely,3,"[0, 1, 2, 3, 4, 5, 6]",2
-9NhaKWMtWU_q9_0,-9NhaKWMtWU,What is the relationship between the two boys?,They are close friends doing a show together,The one on the left is a guest of the one on the right,The two boys are friendly with each other because they are in a competition.,The two boys are strangers who just met.,0,"[0, 1, 2, 3, 4, 5, 6]",2
-9NhaKWMtWU_q14_0,-9NhaKWMtWU,What is the tone of the conversation,It is largely friendly.,The men are discussing their favorite books.,The men are arguing and being aggressive towards each other.,It is playful and friendly,3,"[0, 1, 2, 3, 4, 5, 6]",2
-9NhaKWMtWU_q4_6,-9NhaKWMtWU,Why are the men laughing?,They are telling jokes.,The men are laughing because they just won the lottery.,The two men are laughing because they are doing a comedy skit/vlog,The men are laughing because they are having a playful conversation.,2,"[0, 1, 2, 3, 4, 5, 6]",2
-9NhaKWMtWU_q7_0,-9NhaKWMtWU,Why are the two men laughing?,They are laughing because they just won a bet.,They are laughing because they just saw a funny meme on their phones.,The two men are laughing because they are tickling each other with a feather.,The two men are laughing because they are enjoying what they are doing.,3,"[0, 1, 2, 3, 4, 5, 6]",2
-9NhaKWMtWU_q12_0,-9NhaKWMtWU,Why are these two people playing this game?,They are playing it for fun.,They are playing along for the sake of humor.,They are having a farcical time playing the game.,They are playing it for fun.,3,"[0, 1, 2, 3, 4, 5, 6]",2
-9NhaKWMtWU_q19_0,-9NhaKWMtWU,Why did the man with short hair clap?,The man with short hair clapped because he wanted to show off his fancy hand movements.,The man with short hair is clapping because he won a bet.,The man with short hair is happy about getting the question correct.,The man with short hair is clapping because he just got a new phone.,2,"[0, 1, 2, 3, 4, 5, 6]",2
-9NhaKWMtWU_q6_0,-9NhaKWMtWU,Why do the two boys say so many words?,They are trying to impress each other with their vocabulary.,They are practicing their public speaking skills.,They are practicing key words for an important speech,They are playing a rhyming game,3,"[0, 1, 2, 3, 4, 5, 6]",2
-9NhaKWMtWU_q22_0,-9NhaKWMtWU,Why do the two men laugh?,"Yes, they are laughing at their own jokes.",The men laugh because the rhymes are not what the man on the left intended them to be.,"Yes, they are laughing at their own jokes and having a good time.",The men laugh because they like rhymes.,1,"[0, 1, 2, 3, 4, 5, 6]",2
-9NhaKWMtWU_q13_6,-9NhaKWMtWU,Why does the man on the left cover his face near the beginning of the video?,The man on the left covers his face near the beginning of the video because he is full of laughter and this is natural reaction,He feels momentarily sad and covers his face to hide his emotions.,The man on the left covers his face near the beginning of the video because he is trying to hold back laughter.,The man on the left covers his face near the beginning of the video because he is trying to hide from the camera.,0,"[0, 1, 2, 3, 4, 5, 6]",2
-9NhaKWMtWU_q17_0,-9NhaKWMtWU,Why does the man on the right celebrate?,The man on the right celebrates because he won a bet with his friend.,The man on the right celebrates because he found a dollar on the ground.,The man on the right celebrates because he is confident in his answer.,The man on the right celebrates because he gave a correct answer.,3,"[0, 1, 2, 3, 4, 5, 6]",2
-9NhaKWMtWU_q8_0,-9NhaKWMtWU,Why does the person on the right laugh after the person on the left calls him racist?,The person on the right laughs because the person on the left made a funny joke.,It was such a far-fetched and ridiculous claim that the person on the right started,The person on the right laughs because the accusation was unexpected.,It was unexpected and he thought it was funny,3,"[0, 1, 2, 3, 4, 5, 6]",2
-9NhaKWMtWU_q10_9,-9NhaKWMtWU,Why is the man on the left laughing at the man on the right?,The man on the left is laughing at the man on the right's silly jokes.,The man on the left thinks the funny jokes made by the man on the right are hilarious.,The man on the left is laughing at the man on the right because the man on the right is making funny jokes,He thinks all of the man's answers are funny.,2,"[0, 1, 2, 3, 4, 5, 6]",2
-QQ0Lv4_--4_q3_0,-QQ0Lv4_--4,Describe the man's reaction to what the woman said at 0:05,He seems happy and excited.,The man seems hesitant and unsure.,He seems disappointed and offended,He seems indifferent to what the woman said at 0:05.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",11
-QQ0Lv4_--4_q12_0,-QQ0Lv4_--4,Describe the man's tone and what this suggets about his mood at 0:30,He seems nervous and anxious.,and overly confident.,He seems uninterested.,He seems shy and embarrassed,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",11
-QQ0Lv4_--4_q1_0,-QQ0Lv4_--4,Describe the woman's reaction to what the man said at 0:31,The woman seems confused by what the man said.,The woman is distracted by the man's headwrap and doesn't hear what he says.,She seems flattered,She seems interested,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",11
-QQ0Lv4_--4_q6_0,-QQ0Lv4_--4,Does the woman seem open minded?,"Yes, because she is friendly with the man.","Yes, she seems open to interacting with people of other religions and cultures.","No, because she judges people based on their appearance.","No, because she wouldn't date someone on behalf of their religion.",3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",11
-QQ0Lv4_--4_q10_0,-QQ0Lv4_--4,How do the woman and the man feel after the man shows her his board?,They both have to hide their displeasure,The woman is impressed with the man's cooking skills.,The woman and the man are trying to stay out of the discussion.,It is a little awkward because of the different responses but largely they are still accepting,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",11
-QQ0Lv4_--4_q2_0,-QQ0Lv4_--4,How does the man feel about the woman not wanting to date him?,He is sad and angry and thinks the woman is mean.,The man is angry at the woman and wants to confront her.,"A little disappointed because he potentially would, but he still thinks she is a nice person.",The man thinks the woman is not attractive enough to date.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",11
-QQ0Lv4_--4_q5_0,-QQ0Lv4_--4,How does the man feel in the beginning?,The man is confused in the beginning.,He is very excited.,He is a little hurt but is understanding,The man is happy and excited.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",11
-QQ0Lv4_--4_q9_0,-QQ0Lv4_--4,How does the woman feel about the man's conclusion?,She thinks it is a reasonable conclusion and that he was nice.,The woman thinks the man is lying.,She believes he is completely wrong and refuses to acknowledge his point of view.,The woman is unsure about the man's conclusion because of his religious beliefs.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",11
-QQ0Lv4_--4_q8_0,-QQ0Lv4_--4,Is the man understanding?,The man is wearing a turban.,"Yes, he doesn't get angry when she says she wouldn't date him.","Yes, he understands perfectly well, but he is still upset that she wouldn't date him.",The man who is talking to the woman shares his personal experience.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",11
-QQ0Lv4_--4_q17_6,-QQ0Lv4_--4,The man's nods and vocal expression suggests that he,He is analyzing her.,He is trying to remember something.,is understanding her.,The man's nods and vocal expression suggests that he is deeply interested in what,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",11
-QQ0Lv4_--4_q4_6,-QQ0Lv4_--4,The woman's smile and nods suggest that she,She is excited about the situation at hand.,The woman's smile and nods suggest that she was comfortable in the situation.,"No, she enjoyed the conversation more.",not uncomfortable.,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",11
-QQ0Lv4_--4_q13_0,-QQ0Lv4_--4,What is the man's reaction to the woman's initial assessment of him?,He is offended by the woman's initial assessment of him.,He is surprised and disappointed,He is happy that the woman did not date him.,He is surprised but not angered.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",11
-QQ0Lv4_--4_q16_9,-QQ0Lv4_--4,Why did the man grimace in the beginning?,He was thinking about a joke he heard earlier.,He got rejected.,He smelled something weird,He was surprised by the woman's headwrap.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",11
-QQ0Lv4_--4_q14_0,-QQ0Lv4_--4,Why does the woman first give and deny inaccurate reasons why she wouldn't date the man?,She is trying to offend the man.,The woman was actually talking about someone else and not the man.,She does not want to offend the man,She did not want to hurt the man's feelings.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",11
-QQ0Lv4_--4_q11_0,-QQ0Lv4_--4,Why does the woman nod through the video?,The woman's nods suggest that she is agreeing with the man.,The woman is nodding in agreement with the others in the video.,She is agreeing with the things the man says,She is listening to the man talk and indicating her understanding and acceeptance,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",11
-QQ0Lv4_--4_q7_0,-QQ0Lv4_--4,Why is the man shocked?,The woman doesn't trust the man.,The man is shocked because the woman is wearing a headwrap.,The man is shocked because the woman is not interested in dating someone with religious differences.,The woman said she wouldn't date him.,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",11
-QQ0Lv4_--4_q15_0,-QQ0Lv4_--4,Why wouldn't the woman date the man?,He isn't her type.,The woman wouldn't date him because he is too short.,She says his headwrap shows he's obviously not a Christian.,The woman wouldn't date him because he wears glasses.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",11
-bSM6iswghE_q1_3,-bSM6iswghE,How do the men react when the woman walks in the room?,They keep making noise,The men are reacting to the woman's entrance.,The men start singing a birthday song.,They react in a friendly manner because they want the woman to be there,0,"[0, 1, 2, 3, 4, 5]",3
-bSM6iswghE_q4_4,-bSM6iswghE,How does the man want the woman to feel in the beginning?,The man is trying to impress the woman with his dance moves.,He wanted her to feel concerned,The man is trying to show off his new phone to the woman.,He was trying to make her angry at him and was trying to annoy her,1,"[0, 1, 2, 3, 4, 5]",3
-bSM6iswghE_q5_6,-bSM6iswghE,How does the woman react to the surprise at 0:42?,She looks startled and starts backing away,The woman is seen eating cake.,She was a little confused,The woman is sad and confused.,2,"[0, 1, 2, 3, 4, 5]",3
-bSM6iswghE_q3_9,-bSM6iswghE,Is the guy in the white shirt holding the cake nervous?,He looks like he's planning a surprise party.,the guy in the white shirt is confident and casual about the surprise.,"No, the man in white seems overconfident.",He didn't know what to expect,3,"[0, 1, 2, 3, 4, 5]",3
-bSM6iswghE_q2_1,-bSM6iswghE,Why did the guy in the white shirt call the woman in a serious tone?,He was genuinely angry at her for what she did to him before the event.,The guy in the white shirt is calling the woman to ask her to dance with him.,The guy in the white shirt wanted to get the woman's attention so he could surprise her.,The guy in the white shirt is calling the woman to tell her that the party is over.,2,"[0, 1, 2, 3, 4, 5]",3
-daGjyKKNio_q2_7,-daGjyKKNio,How does the man and woman feel about their audience?,They care a lot about their audience because the man is giving them deals that could be useful,They want to sell their idea to their audience.,They value each other's input on their dialogue more than their audience's.,They don't really care about their audience.,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56]",1
-daGjyKKNio_q1_1,-daGjyKKNio,What is the ambience of the setting?,The ambience of the setting is serious and focused as the man and the woman are not smiling and seem to be concentrating on their conversation.,It is casual and friendly.,"It is filled with loud music and obnoxious smells, making it an unpleasant experience.",The ambience of the setting is formal and tense as they don't seem to be enjoying their meeting.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56]",1
-daGjyKKNio_q3_11,-daGjyKKNio,"why does the person say ""bam"" with such a force?",It was scripted like that.,He is trying to make a point.,It's his catchphrase. He says it a lot so he is very confident,He is trying to impress the woman.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56]",1
-daGjyKKNio_q5_6,-daGjyKKNio,"why does the person when the man asks to describe, he closes his eyes, what was going through his head?",He wants to reminisce about his own past.,He was trying to fall asleep.,He was trying to remember something about what she was saying.,the man does that as he is trying to remember something,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56]",1
-daGjyKKNio_q4_11,-daGjyKKNio,"why does the peson look into the camera while shrugging  in te middle of his sentence, what does it say about his demeaner?",He might be indicating that he doesn't care about the topic he's discussing. He shrugs at the guy behind.,He is nervous because it's his first time on live air.,The person looking into the camera jokes to cover up their nervousness.,The person looking into the camera nods his head while talking.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56]",1
-sp3Q524oO4_q5_5,-sp3Q524oO4,Does the man respect the woman?,The man respects the woman because she once helped him fix his car.,The man is annoyed with the woman because she keeps interrupting him.,The man is dismissive of the woman because they disagree and are discussing sensitive and unclear topics.,The man respects the woman because he thinks the woman is his guest.,3,"[0, 1, 2, 3]",1
-sp3Q524oO4_q2_3,-sp3Q524oO4,Is the woman interested in the man's role?,The woman is interested in the man's role because she isn't aware of what exactly the man does.,"No, she seems interested in the whole ordeal.",The woman is admiring the man's tie.,The woman is not interested in the man's role.,0,"[0, 1, 2, 3]",1
-sp3Q524oO4_q1_10,-sp3Q524oO4,What does the man think of his comment that he's like a referee?,The man thinks his comment about being a referee is more accurate than being a headmaster.,The man thinks his comment about being a headmaster is more accurate than being a referee.,The man wants to clarify his analogy to the other two people.,The man thinks his comment about being a referee is spot-on and he relishes in being able to make the call.,0,"[0, 1, 2, 3]",1
-sp3Q524oO4_q3_0,-sp3Q524oO4,What is the woman feeling?,The woman is curious and amazed.,The woman is frustrated and bored.,The woman feels interested in history.,The woman is skeptical and uninterested.,0,"[0, 1, 2, 3]",1
-sp3Q524oO4_q4_9,-sp3Q524oO4,Who is leading the conversation?,"Yes, as she actively led the conversation within the dialogue.",The Speaker is leading the conversation.,The man is leading the conversation by switching to new subjects when he likes.,The woman because she is asking the questions.,2,"[0, 1, 2, 3]",1
02A2a-aEvmI_q4_6,02A2a-aEvmI,How does the man feel about the current state of society?,There is war going on.,"Yes, he appears to give hopeful responses.",He is satisfied and content,The man is worried about his car breaking down.,0,"[0, 1, 2, 3]",0
02A2a-aEvmI_q5_9,02A2a-aEvmI,How does the man feel towards the woman?,He is dismissive towards her and doesn't care.,He thinks she is annoying.,wants her to leave him alone.,He thinks she is mysterious.,3,"[0, 1, 2, 3]",0
02A2a-aEvmI_q1_6,02A2a-aEvmI,How does the woman feel about the man?,She wants to learn more about the man.,She thinks the man is handsome.,She loves him,She is annoyed by the man's presence.,0,"[0, 1, 2, 3]",0
02A2a-aEvmI_q2_7,02A2a-aEvmI,Why does the man continue to ask the woman questions after the woman suggested he not?,He wants to learn more.,He wants to tease her because she tells him to stop asking her questions.,The man is trying to impress the woman.,The man is distracted by the woman's outfit.,0,"[0, 1, 2, 3]",0
02A2a-aEvmI_q3_0,02A2a-aEvmI,Why was the woman initially friendly with the man but then not friendly?,The woman was initially friendly with the man but then not friendly because she found out he was broke.,The woman was initially friendly with the man but then not friendly because she didn't want the other woman to hear their conversation.,"The woman wanted to flirt with the man, and is making sure she isn't coming on too strong.",to offer the man a ride to her hotel and ignore his complaints.,2,"[0, 1, 2, 3]",0
0B9VJfzqwhM_q4_6,0B9VJfzqwhM,How do the boys feel about the fact that mommy comes home today?,The boys are sad that they have to spend time with their family.,They are happy.,They are excited.,The boys are worried about mommy coming home.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",1
0B9VJfzqwhM_q3_0,0B9VJfzqwhM,How do the two boys feel about playing with the toys with one another?,They are happy and amused,They are competitive with each other.,They are competitive.,The baby keeps interrupting their playtime.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",1
0B9VJfzqwhM_q1_3,0B9VJfzqwhM,How does the man feel about going to get mom?,He is excited.,The man is annoyed about having to go get his wife.,He is excited.,The man is worried about his wife's reaction to the video.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",1
0B9VJfzqwhM_q2_3,0B9VJfzqwhM,"How does the man seem to feel about ""mommy coming home""?","How does the man seem to feel about ""mommy coming home""?",The man is annoyed that mommy is coming home.,He is very excited.,The man is worried that mommy coming home will ruin their fun.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",1
0B9VJfzqwhM_q5_0,0B9VJfzqwhM,Why does the boy in the striped red shirt say he's sad?,Because the man is not a good parental figure to him.,Because he dropped his ice cream.,Because his brother won't play with him,Because his mom has been gone,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",1
0LDAgvbRtk4_q4_3,0LDAgvbRtk4,How does the girl in the yellow skirt feel after she has gotten the names of the babies correct?,She feels friendly towards the babies,The woman scolds the girl for getting the names wrong.,"The girl in the yellow skirt jumps up and down with excitement after getting the names of the babies correct, but she actually got them wrong.",she feels very happy,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",7
0LDAgvbRtk4_q1_2,0LDAgvbRtk4,How does the girl in the yellow skirt feel towards the babies?,She cares about them,she thinks the babies are cute,The girl in the yellow skirt is jealous of the babies.,The girl in the yellow skirt is scared of the babies.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",7
0LDAgvbRtk4_q5_4,0LDAgvbRtk4,How does the woman feel towards the children in the video?,she likes the babies at all,She is annoyed by the children's behavior.,She is jealous of the children's toys.,she loves the children,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",7
0LDAgvbRtk4_q2_9,0LDAgvbRtk4,Why is the woman laughing and smiling at the beginning?,"No, she was actually feeling sad.",a funny joke which made her laugh.,she is feeling very happy,"Yes, because she found the situation amusing.",2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",7
0LDAgvbRtk4_q3_9,0LDAgvbRtk4,Why is the woman using a soft voice with the baby?,because she doesn't want to scare the babies,The woman is trying to teach the baby a new language.,She is using a soft voice because the baby is sleeping.,The woman is afraid of the baby's crying.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",7
0SuGC2ifkIA_q2_0,0SuGC2ifkIA,How does the blond woman feel by the end of the video?,She is excited,She is annoyed and frustrated,One of the hosts is impressed by their own cooking skills.,"The special guest, Ronny, is extremely happy with the dish.",1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",2
0SuGC2ifkIA_q3_9,0SuGC2ifkIA,How does the dark-haired woman feel after the blond woman talks about what she wants to cook for the first time?,She is excited,"The dark-haired woman tries to imagine the dish that is planned, but creates negative expectations.",The hosts are arguing about what to cook.,The dark-haired woman is skeptical about the dish.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",2
0SuGC2ifkIA_q4_3,0SuGC2ifkIA,How does the man feel at the beginning of the video?,The hosts are excited and chatty.,The man feels a bit confused but goes along with it.,The man is hesitant and unsure.,He feels comfortable,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",2
0SuGC2ifkIA_q5_7,0SuGC2ifkIA,Why does the man in white look confused?,The man in white is confused because he doesn't know how to cook.,The man in white is confused about why the blond woman is frowning.,The man in white is confused because he forgot his lines.,"The man in white is confused because the woman on the right promised to make him something sweet, but she made him something bitter.",3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",2
0SuGC2ifkIA_q1_5,0SuGC2ifkIA,Why does the woman in black seem disgusted?,The woman in black is disgusted because she doesn't like meat in her food.,The woman in black seems disgusted because she doesn't like bitter foods.,The woman in black seems disgusted because she doesn't like spicy food.,The woman in black seems disgusted because she doesn't like the smell of the sambal.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",2
0_8zVtd5VLY_q6_0,0_8zVtd5VLY,Are the two men good friends?,"Yes, they seem to be having a good time together.",The two men are competing for attention.,"no, they are not getting along.",The two men are indifferent towards each other.,2,"[0, 1, 2, 3, 4, 5]",2
0_8zVtd5VLY_q7_0,0_8zVtd5VLY,Are the two men in agreement?,"Yes, they agree and nod along as the other talks.","Yes, they shake their heads when the other speaks.","No, they are arguing and not listening to each other.","No, they are not. One is trying to defend himself while the other is verbally attacking him.",3,"[0, 1, 2, 3, 4, 5]",2
0_8zVtd5VLY_q8_0,0_8zVtd5VLY,How does the checkered shirt feel about the other man?,He is indifferent to him.,He is confused by him.,He is envious of the other man.,He is frustrated at him.,3,"[0, 1, 2, 3, 4, 5]",2
0_8zVtd5VLY_q4_0,0_8zVtd5VLY,How does the man on the left act?,The man on the left acts very kindly.,The man on the left is very aggressive.,Very laid back.,The man on the left is very relaxed and carefree.,2,"[0, 1, 2, 3, 4, 5]",2
0_8zVtd5VLY_q5_4,0_8zVtd5VLY,Is the man in the checkered shirt compassionate?,"No, the man in the checkered shirt is not compassionate, he is highly critical",He is cruel towards him.,"Yes, the man in the checkered shirt is compassionate, but only towards cats.",He is dismissive of what the man in the black shirt has to say.,0,"[0, 1, 2, 3, 4, 5]",2
0_8zVtd5VLY_q1_0,0_8zVtd5VLY,Why does the man in the checkered shirt cut off the conversation?,The man in the checkered shirt had to leave for an important meeting.,He is not interested.,He is running out of time.,The man in purple is distracted by the toy commercial and wants to watch it.,1,"[0, 1, 2, 3, 4, 5]",2
0_8zVtd5VLY_q3_0,0_8zVtd5VLY,Why does the man on the right interrupt the man on the left?,He doesn't care what he has to say.,He is too distracted by his phone to listen.,The man on the right was bored and wanted to change the subject.,The man on the right was trying to impress the young man on the left.,0,"[0, 1, 2, 3, 4, 5]",2
0_8zVtd5VLY_q2_0,0_8zVtd5VLY,Why is the man facing forwards mad at the man facing sideways?,"Because he wants the man facing sideways to be a more productive member of society, less lazy, and get a job. But the man facing sideways wants to bring peace to the world without a job.",The man facing forwards is angry because the man facing sideways achieved his goal of being lazy.,The man facing forwards is angry because the man facing sideways is not wearing a hat.,Because the man facing sideways stole the man facing forwards' girlfriend.,0,"[0, 1, 2, 3, 4, 5]",2
0a2lv4IwZFY_q4_9,0a2lv4IwZFY,What does the standing woman feel about the second video?,She does not find it amusing.,The woman in the room is bored by the second video.,"No, she did not enjoy it.",She finds it entertaining,3,"[0, 1, 2, 3, 4]",1
0a2lv4IwZFY_q2_10,0a2lv4IwZFY,What does the woman feel about the video?,Both women feel incredibly sad about the video because there is a man suffering,The standing woman finds it entertaining,The woman is confused about the purpose of the video.,She feels bored watching the video.,1,"[0, 1, 2, 3, 4]",1
0a2lv4IwZFY_q3_6,0a2lv4IwZFY,Why does the woman feel about the second video?,She dislikes the people in the video.,The standing woman finds it amusing,The woman finds the second video funny.,She dislikes the video.,1,"[0, 1, 2, 3, 4]",1
